sofascore_slug,transfermarkt_url,lig,sezon,etiket
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,Bundesliga,21/22,Defensive Midfield
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,2. Bundesliga,20/21,Defensive Midfield
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,Regionalliga Nord,17/18,Defensive Midfield
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Premier League,24/25,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Premier League,23/24,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Premier League,22/23,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Championship,21/22,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Premier League,20/21,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Championship,19/20,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Championship,18/19,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Championship,17/18,Left-Back
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,Premier League 2,16/17,Left-Back
antoni-milambo/1126692,https://www.transfermarkt.com/antoni-milambo/profil/spieler/683620,Eredivisie,24/25,Attacking Midfield
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359,2. Bundesliga,23/24,Central Midfield
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359,2. Bundesliga,22/23,Central Midfield
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359,2. Bundesliga,21/22,Central Midfield
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359,Championship,24/25,Defensive Midfield
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359,J1 League,2020,Defensive Midfield
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359,J1 League,2019,Defensive Midfield
archie-gray/1142335,https://www.transfermarkt.com/archie-gray/profil/spieler/922693,Championship,23/24,Right-Back
armando-broja/996985,https://www.transfermarkt.com/armando-broja/profil/spieler/571743,Premier League,21/22,Centre-Forward
